Security,Term,Yield,Speed,WAL
Agency MBS,120,0.05,0.0275,1.8964809019153346
Agency MBS,180,0.05,0.0275,2.2087592057042262
Agency MBS,240,0.05,0.0275,2.4109987906471515
Agency MBS,360,0.05,0.0275,2.6500251729398836
Agency MBS,18,0.05,0.03,0.5675229767842274
Agency MBS,24,0.05,0.03,0.7128965107156254
Agency MBS,36,0.05,0.03,0.9512382442668903
Agency MBS,48,0.05,0.03,1.1405047109831155
Agency MBS,60,0.05,0.03,1.2947306087643151
Agency MBS,72,0.05,0.03,1.4262636987755066
Agency MBS,84,0.05,0.03,1.5382379260259242
Agency MBS,120,0.05,0.03,1.7962132828228137
Agency MBS,180,0.05,0.03,2.074889076361964
Agency MBS,240,0.05,0.03,2.2529402541084234
Agency MBS,360,0.05,0.03,2.461147804714434
Agency MBS,18,0.05,0.0325,0.5591652737944878
Agency MBS,24,0.05,0.0325,0.6990716969447824
Agency MBS,36,0.05,0.0325,0.9242817972328142
Agency MBS,48,0.05,0.0325,1.103028797965232
Agency MBS,60,0.05,0.0325,1.2468297524861103
Agency MBS,72,0.05,0.0325,1.3676407486521154
Agency MBS,84,0.05,0.0325,1.471097783560551
Agency MBS,120,0.05,0.0325,1.7065164857641986
Agency MBS,180,0.05,0.0325,1.9568352768796826
Agency MBS,240,0.05,0.0325,2.1148132372111985
Agency MBS,360,0.05,0.0325,2.2979315757294745
Agency MBS,18,0.05,0.035,0.5510138318791012
Agency MBS,24,0.05,0.035,0.6856616849753538
Agency MBS,36,0.05,0.035,0.9008170337059179
Agency MBS,48,0.05,0.035,1.0680398486880573
Agency MBS,60,0.05,0.035,1.2025828482065377
Agency MBS,72,0.05,0.035,1.3150775624924742
Agency MBS,84,0.05,0.035,1.4106901479422458
Agency MBS,120,0.05,0.035,1.6257906995954061
Agency MBS,180,0.05,0.035,1.8525993677147676
Agency MBS,240,0.05,0.035,1.9936931149234816
Agency MBS,360,0.05,0.035,2.1559129926488816
Agency MBS,18,0.0525,0.005,0.6847461085192231
Agency MBS,24,0.0525,0.005,0.9134999980557237
Agency MBS,36,0.0525,0.005,1.3555600560745729
Agency MBS,48,0.0525,0.005,1.7773129062327584
Agency MBS,60,0.0525,0.005,2.1815915183756016
Agency MBS,72,0.0525,0.005,2.569889408060414
Agency MBS,84,0.0525,0.005,2.943954330263855
Agency MBS,120,0.0525,0.005,3.9910168343457144
Agency MBS,180,0.0525,0.005,5.526866602850139
Agency MBS,240,0.0525,0.005,6.844871475722431
Agency MBS,360,0.0525,0.005,8.930424094019832
Agency MBS,18,0.0525,0.0075,0.6703137382488982
Agency MBS,24,0.0525,0.0075,0.8878425976869563
Agency MBS,36,0.0525,0.0075,1.297661746704302
Agency MBS,48,0.0525,0.0075,1.6785555526428215
Agency MBS,60,0.0525,0.0075,2.0352541993659345
Agency MBS,72,0.0525,0.0075,2.3706107883815712
Agency MBS,84,0.0525,0.0075,2.6870123173251415
Agency MBS,120,0.0525,0.0075,3.5411726963801264
Agency MBS,180,0.0525,0.0075,4.71967669591423
Agency MBS,240,0.0525,0.0075,5.666500696620272
Agency MBS,360,0.0525,0.0075,7.052868721969489
Agency MBS,18,0.0525,0.01,0.6565531949996414
Agency MBS,24,0.0525,0.01,0.8629559230126245
Agency MBS,36,0.0525,0.01,1.2451256727651636
Agency MBS,48,0.0525,0.01,1.5916285053245103
Agency MBS,60,0.0525,0.01,1.9090299824982422
Agency MBS,72,0.0525,0.01,2.2014547202908226
Agency MBS,84,0.0525,0.01,2.4734553369112846
Agency MBS,120,0.0525,0.01,3.1855046186096616
Agency MBS,180,0.0525,0.01,4.120131107224945
Agency MBS,240,0.0525,0.01,4.83399927300754
Agency MBS,360,0.0525,0.01,5.82299506270236
Agency MBS,18,0.0525,0.0125,0.644088186619515
Agency MBS,24,0.0525,0.0125,0.8406916434754486
Agency MBS,36,0.0525,0.0125,1.197194465482723
Agency MBS,48,0.0525,0.0125,1.5137651105782381
Agency MBS,60,0.0525,0.0125,1.798700579794418
Agency MBS,72,0.0525,0.0125,2.0570326676528907
Agency MBS,84,0.0525,0.0125,2.292975779421114
Agency MBS,120,0.0525,0.0125,2.8966830329464632
Agency MBS,180,0.0525,0.0125,3.6577921681923713
Agency MBS,240,0.0525,0.0125,4.216221334007403
Agency MBS,360,0.0525,0.0125,4.9581605007500205
Agency MBS,18,0.0525,0.015,0.631980435485252
Agency MBS,24,0.0525,0.015,0.8183420646828914
Agency MBS,36,0.0525,0.015,1.1532063343034344
Agency MBS,48,0.0525,0.015,1.4443006253550106
Agency MBS,60,0.0525,0.015,1.7014435073381093
Agency MBS,72,0.0525,0.015,1.9311260318434964
Agency MBS,84,0.0525,0.015,2.1386529023832543
Agency MBS,120,0.0525,0.015,2.6576791355723555
Agency MBS,180,0.0525,0.015,3.2905642015413274
Agency MBS,240,0.0525,0.015,3.7401005347711553
Agency MBS,360,0.0525,0.015,4.318065256525826
Agency MBS,18,0.0525,0.0175,0.6202191373815963
Agency MBS,24,0.0525,0.0175,0.7989755310988641
Agency MBS,36,0.0525,0.0175,1.1125809333995382
Agency MBS,48,0.0525,0.0175,1.381474712959233
Agency MBS,60,0.0525,0.0175,1.614893976254937
Agency MBS,72,0.0525,0.0175,1.821156910680797
Agency MBS,84,0.0525,0.0175,2.004737460383929
Agency MBS,120,0.0525,0.0175,2.4568877748610976
Agency MBS,180,0.0525,0.0175,2.992286860357057
Agency MBS,240,0.0525,0.0175,3.3623509249169694
Agency MBS,360,0.0525,0.0175,3.8258941977858396
Agency MBS,18,0.0525,0.02,0.6084101539505107
Agency MBS,24,0.0525,0.02,0.7802649914453577
Agency MBS,36,0.0525,0.02,1.0758956299379834
Agency MBS,48,0.0525,0.02,1.3237424821374906
Agency MBS,60,0.0525,0.02,1.5370592546946604
Agency MBS,72,0.0525,0.02,1.7238339008661157
Agency MBS,84,0.0525,0.02,1.8882325324018954
Agency MBS,120,0.0525,0.02,2.2858910890410993
Agency MBS,180,0.0525,0.02,2.744724683902444
Agency MBS,240,0.0525,0.02,3.0554232034513653
Agency MBS,360,0.0525,0.02,3.435701453772173
Agency MBS,18,0.0525,0.0225,0.5982243064265972
Agency MBS,24,0.0525,0.0225,0.7615221089169902
Agency MBS,36,0.0525,0.0225,1.0413599867402004
Agency MBS,48,0.0525,0.0225,1.2717902642130299
Agency MBS,60,0.0525,0.0225,1.4680400254347612
Agency MBS,72,0.0525,0.0225,1.6369952887617663
Agency MBS,84,0.0525,0.0225,1.7852620380847348
Agency MBS,120,0.0525,0.0225,2.1375031941634037
Agency MBS,180,0.0525,0.0225,2.5368585294687236
Agency MBS,240,0.0525,0.0225,2.801202392118667
Agency MBS,360,0.0525,0.0225,3.1196068515469046
Agency MBS,18,0.0525,0.025,0.5883098878773118
Agency MBS,24,0.0525,0.025,0.7451868260622416
Agency MBS,36,0.0525,0.025,1.0089276694056475
Agency MBS,48,0.0525,0.025,1.224100317393998
Agency MBS,60,0.0525,0.025,1.4053415010149501
Agency MBS,72,0.0525,0.025,1.55978862468821
Agency MBS,84,0.0525,0.025,1.6936184289505116
Agency MBS,120,0.0525,0.025,2.0091765161798487
Agency MBS,180,0.0525,0.025,2.3591808438179886
Agency MBS,240,0.0525,0.025,2.5872978465687515
Agency MBS,360,0.0525,0.025,2.8576745787188256
Agency MBS,18,0.0525,0.0275,0.578659187379775
Agency MBS,24,0.0525,0.0275,0.7293730955920413
Agency MBS,36,0.0525,0.0275,0.979665827821826
Agency MBS,48,0.0525,0.0275,1.180119775106743
Agency MBS,60,0.0525,0.0275,1.3481994808005175
Agency MBS,72,0.0525,0.0275,1.489440373122786
Agency MBS,84,0.0525,0.0275,1.6114341856065149
Agency MBS,120,0.0525,0.0275,1.8955131810176662
Agency MBS,180,0.0525,0.0275,2.2055495637863576
Agency MBS,240,0.0525,0.0275,2.4044870283107733
Agency MBS,360,0.0525,0.0275,2.637866490212244
Agency MBS,18,0.0525,0.03,0.5676477309293065
Agency MBS,24,0.0525,0.03,0.7130834026106726
Agency MBS,36,0.0525,0.03,0.9514957662453214
Agency MBS,48,0.0525,0.03,1.1407436709321164
Agency MBS,60,0.0525,0.03,1.2949463116626325
Agency MBS,72,0.0525,0.03,1.4262869895468748
Agency MBS,84,0.0525,0.03,1.5371206128830552
Agency MBS,120,0.0525,0.03,1.795168906033177
